State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Andaman and Nicobar Islands,Port Blair,2014-01-01,25.86,35.15,12.89,19.35,17.86,8.5,1.38,10.85,34.48,2.1,2.48,0.49,43,Good,6.6,65.6,0.467,0.88,0.3,46.0
Andaman and Nicobar Islands,Port Blair,2014-02-01,20.77,63.75,8.35,19.64,12.74,6.17,0.6,14.08,13.47,0.51,2.88,1.1,35,Good,4.4,53.1,0.474,1.46,0.31,46.0
Andaman and Nicobar Islands,Port Blair,2014-03-01,26.99,60.17,7.77,23.75,3.66,12.68,1.16,9.58,36.1,1.76,3.29,1.15,45,Good,9.0,48.5,0.657,-0.54,0.3,46.1
Andaman and Nicobar Islands,Port Blair,2014-04-01,18.62,50.33,4.12,18.42,11.05,14.54,0.7,1.0,33.57,0.55,2.87,0.52,31,Good,17.2,32.4,0.371,1.79,0.3,46.1
Andaman and Nicobar Islands,Port Blair,2014-05-01,26.87,34.98,11.25,12.56,7.89,19.7,0.86,10.66,35.58,1.6,4.26,0.72,45,Good,19.8,59.6,0.529,1.43,0.3,45.9
Andaman and Nicobar Islands,Port Blair,2014-06-01,12.89,35.02,3.58,7.73,6.55,1.79,0.45,1.03,20.43,1.22,0.37,0.6,21,Good,23.1,70.4,0.601,1.22,0.31,45.9
Andaman and Nicobar Islands,Port Blair,2014-07-01,16.44,23.38,8.5,1.0,5.0,0.5,0.64,2.78,11.6,0.1,0.95,0.5,27,Good,28.1,96.6,0.401,1.28,0.29,45.7
Andaman and Nicobar Islands,Port Blair,2014-08-01,19.16,30.84,0.5,8.24,5.23,8.2,0.1,5.96,11.36,0.15,1.52,0.7,32,Good,25.6,90.5,0.593,0.7,0.3,45.8
Andaman and Nicobar Islands,Port Blair,2014-09-01,5.0,10.0,4.48,1.68,2.34,10.1,0.3,2.95,8.31,1.08,1.26,0.87,8,Good,20.0,83.7,0.348,0.73,0.3,46.1
Andaman and Nicobar Islands,Port Blair,2014-10-01,31.43,54.37,15.53,18.98,14.02,4.34,0.43,10.29,25.92,0.6,1.49,0.45,52,Satisfactory,6.5,84.9,0.381,0.32,0.3,46.0
Andaman and Nicobar Islands,Port Blair,2014-11-01,8.53,37.55,20.52,13.08,9.54,9.14,1.28,11.81,28.07,1.08,5.01,1.21,14,Good,9.9,71.3,0.238,1.36,0.3,45.9
Andaman and Nicobar Islands,Port Blair,2014-12-01,42.76,97.6,22.46,19.95,27.5,15.78,0.39,4.25,30.73,2.9,5.61,0.34,71,Satisfactory,5.7,62.8,0.291,0.43,0.3,46.2
Andaman and Nicobar Islands,Port Blair,2015-01-01,35.32,51.23,18.56,12.15,7.63,19.93,0.47,11.26,17.05,0.77,4.32,1.27,58,Satisfactory,7.1,77.3,0.186,1.27,0.31,46.5
Andaman and Nicobar Islands,Port Blair,2015-02-01,49.2,73.57,3.86,19.05,1.03,11.62,0.88,5.35,23.63,2.21,4.19,1.79,82,Satisfactory,6.3,63.9,0.38,1.57,0.31,46.8
Andaman and Nicobar Islands,Port Blair,2015-03-01,35.61,31.33,9.44,10.9,6.93,7.63,0.36,8.8,9.11,0.94,1.84,0.34,59,Satisfactory,13.2,55.7,0.483,2.2,0.3,46.2
Andaman and Nicobar Islands,Port Blair,2015-04-01,50.48,62.21,8.2,20.81,8.02,8.88,0.59,9.95,34.45,0.85,3.72,0.29,84,Satisfactory,10.3,39.5,0.274,1.44,0.3,46.9
Andaman and Nicobar Islands,Port Blair,2015-05-01,11.31,49.75,6.0,18.38,16.25,5.33,0.9,2.78,46.36,1.21,3.28,1.09,19,Good,19.7,47.0,0.402,1.1,0.3,46.9
Andaman and Nicobar Islands,Port Blair,2015-06-01,15.16,56.38,0.5,10.39,4.14,7.77,0.11,4.53,14.09,0.24,2.03,0.82,25,Good,22.8,66.6,0.366,1.56,0.31,46.7
Andaman and Nicobar Islands,Port Blair,2015-07-01,5.9,48.36,9.24,9.81,3.4,5.58,0.17,3.66,12.32,0.5,1.78,0.17,10,Good,19.8,76.1,0.456,2.16,0.31,46.4
Andaman and Nicobar Islands,Port Blair,2015-08-01,20.64,20.2,6.69,2.67,13.26,1.3,0.43,3.66,8.96,0.49,2.13,0.57,34,Good,15.6,100.0,0.289,0.38,0.32,46.5
Andaman and Nicobar Islands,Port Blair,2015-09-01,21.24,30.76,7.84,6.2,8.91,8.89,0.25,3.07,11.38,0.52,0.3,0.24,35,Good,16.3,97.0,0.43,1.29,0.3,46.4
Andaman and Nicobar Islands,Port Blair,2015-10-01,40.73,24.59,9.76,10.38,16.41,3.89,0.19,4.73,12.9,0.67,1.63,0.14,67,Satisfactory,14.5,76.1,0.508,1.17,0.31,46.9
Andaman and Nicobar Islands,Port Blair,2015-11-01,19.48,32.73,15.19,15.22,24.28,17.09,0.32,13.27,12.64,1.97,5.64,0.69,32,Good,8.6,80.8,0.536,0.86,0.31,46.3
Andaman and Nicobar Islands,Port Blair,2015-12-01,21.61,61.5,20.13,35.04,21.2,19.79,0.77,8.95,14.78,2.72,5.19,0.59,36,Good,5.7,78.5,0.267,0.75,0.3,46.6
Andaman and Nicobar Islands,Port Blair,2016-01-01,64.84,76.51,19.87,32.33,17.68,15.01,1.23,10.14,33.37,1.1,3.75,1.77,114,Moderate,4.9,56.9,0.582,0.95,0.31,47.3
Andaman and Nicobar Islands,Port Blair,2016-02-01,37.32,90.59,7.53,4.64,20.18,7.92,0.75,11.11,10.92,0.22,2.84,1.28,62,Satisfactory,9.6,44.3,0.559,1.99,0.31,47.2
Andaman and Nicobar Islands,Port Blair,2016-03-01,19.37,34.86,14.21,13.36,3.53,11.11,0.24,11.47,8.72,0.56,2.73,1.6,32,Good,9.0,52.4,0.501,1.48,0.32,47.3
Andaman and Nicobar Islands,Port Blair,2016-04-01,32.32,61.3,2.25,10.86,17.06,12.34,1.09,1.0,40.7,1.22,1.64,1.2,53,Satisfactory,15.9,49.3,0.287,1.37,0.31,47.3
Andaman and Nicobar Islands,Port Blair,2016-05-01,46.85,73.71,13.06,17.39,16.4,10.05,1.07,5.65,42.56,1.89,2.41,1.1,78,Satisfactory,14.1,40.4,0.0,1.44,0.32,47.4
Andaman and Nicobar Islands,Port Blair,2016-06-01,27.52,50.7,10.33,13.17,17.58,6.9,0.63,5.19,15.5,0.1,2.19,0.99,46,Good,22.4,67.8,0.345,0.77,0.31,47.0
